epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
4093,uka,0.057109955698251724,0.05710289627313614,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.323379+02:00
4094,uka,0.05710289254784584,0.057095833122730255,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.325233+02:00
4095,uka,0.057095833122730255,0.05708878114819527,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.327068+02:00
4096,uka,0.05708877742290497,0.05708172544836998,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.328921+02:00
4097,uka,0.05708172917366028,0.05707467719912529,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.330780+02:00
4098,uka,0.05707467347383499,0.0570676252245903,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.332639+02:00
4099,uka,0.057067617774009705,0.05706058815121651,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.334481+02:00
4100,uka,0.05706058442592621,0.05705353990197182,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.336333+02:00
4101,uka,0.057053543627262115,0.05704650282859802,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.338167+02:00
4102,uka,0.057046499103307724,0.05703946575522423,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.340007+02:00
4103,uka,0.057039469480514526,0.05703243985772133,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.341838+02:00
4104,uka,0.05703243613243103,0.057025402784347534,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.343674+02:00
4105,uka,0.057025402784347534,0.057018376886844635,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.345552+02:00
4106,uka,0.057018380612134933,0.05701135843992233,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.347372+02:00
